132253 7857 45000 2.18
190392 11347 45000 2.037
236391 13929 45000 1.817
281435 15904 45000 1.829
326234 16833 45000 2.415
371931 17378 45000 2.863
428371 16617 45000 2.575
457157 19021 45000 1.951
484144 24543 45000 1.674
480288 26092 45000 1.749
495932 27333 45000 1.774
514984 26724 45000 1.818
500282 25432 45000 1.904
491486 25883 45000 1.985
501607 25942 45000 2.068
529686 26235 45000 2.044
508988 25095 45000 2.014
533325 24908 45000 1.955
521200 24583 45000 1.881
509881 24331 45000 1.93
509946 24776 45000 2.018
525504 24378 45000 2.115
504707 24713 45000 2.085
520487 25552 45000 2.065
521790 25644 45000 2.128
525263 25630 45000 2.148
522394 24774 45000 2.141
508317 25011 45000 2.189
514862 24902 45000 2.202
537605 25658 45000 2.264
540788 25270 45000 2.248
524157 24618 45000 2.241
529087 25270 45000 2.296
521482 25457 45000 2.332
516120 26553 45000 2.324
533531 26780 45000 2.316
520890 25653 45000 2.241
519830 25417 45000 2.191
511525 24771 45000 2.291
518906 25029 45000 2.255
520260 25805 45000 2.27
522416 25346 45000 2.254
514471 25179 45000 2.244
502430 25497 45000 2.272
527650 26075 45000 2.308
514537 25654 45000 2.276
506244 25312 45000 2.437
522699 25928 45000 2.486
529979 25471 45000 2.674
510984 24806 45000 2.799
535577 25335 45000 2.746
535910 25778 45000 2.724
533731 24966 45000 2.715
542056 24666 45000 2.678
536410 24849 45000 2.692
534763 25279 45000 2.638
527907 24760 45000 2.788
531837 25212 45000 2.839
542907 26045 45000 2.861
523060 25267 45000 2.945
537178 25345 45000 2.935
525349 25689 45000 3.035
527514 26113 45000 3.066
535168 27095 45000 3.12
527615 26621 45000 3.09
534283 26211 45000 3.17
533051 26386 45000 3.187
525897 26155 45000 3.276
552181 26398 45000 3.31
532752 25821 45000 3.268
526689 25538 45000 3.276
539353 26485 45000 3.508
543870 25568 45000 3.365
544659 25493 45000 3.39
532555 25638 45000 3.511
545842 25022 45000 3.718
549746 25068 45000 3.828
545165 25605 45000 3.866
536190 25514 45000 3.87
547439 26413 45000 3.912
543440 25929 45000 3.844
547064 26083 45000 4.006
541063 26342 45000 4.257
539269 26130 45000 4.423
537953 25835 45000 4.702
549076 26139 45000 4.826
547577 26536 45000 4.959
552756 26896 45000 5.109
544165 26244 45000 5.374
553795 26105 45000 5.581
566168 25841 45000 5.551
550872 25764 45000 5.72
567374 25368 45000 6.02
555676 25252 45000 6.22
550632 25494 45000 6.301
551996 24890 45000 6.426
555601 25705 45000 6.483
568759 24725 45000 6.387
557892 23432 45000 6.038
