105797 5012 36000 1.3553333
127603 6680 36000 1.357
149457 8310 36000 1.3753333
171825 10038 36000 1.3663334
198730 10767 36000 1.3393333
229503 11528 36000 1.344
250077 11234 36000 1.339
274271 11346 36000 1.3536667
297013 11751 36000 1.3903333
318387 12011 36000 1.432
326158 12012 36000 1.5123333
345298 12666 36000 1.5746666
362646 13119 36000 1.647
379554 13425 36000 1.701
388802 13594 36000 1.7706667
386183 13409 36000 1.882
395420 13744 36000 1.966
400408 14065 36000 2.051
399752 14094 36000 2.1323333
