1.0e-2 7.0e-3 0.0 3.0e-3 2.0e-3
4.0e-3 8.1e-2 4.4e-2 2.0e-3 0.0
0.107 7.2e-2 0.274 0.111 0.104
3.7e-2 4.0e-2 2.0e-3 2.1e-2 2.6e-2
0.126 0.122 0.321 0.142 0.141
0.139 0.126 0.326 0.125 0.148
0.186 0.108 0.432 0.186 0.148
1.2e-2 2.6e-2 7.0e-3 1.3e-2 7.0e-3
0.144 0.105 0.4 0.165 0.155
0.164 9.2e-2 0.4 0.174 0.177
0.165 9.9e-2 0.42 0.167 0.17
0.168 0.107 0.406 0.178 0.169
0.138 9.8e-2 0.413 0.185 0.181
0.171 8.1e-2 0.414 0.181 0.178
0.155 8.8e-2 0.413 0.17 0.185
0.187 9.5e-2 0.463 0.218 0.197
0.168 9.3e-2 0.445 0.195 0.177
0.185 9.6e-2 0.397 0.203 0.167
0.175 0.115 0.43 0.202 0.178
0.2 0.213 0.515 0.253 0.228
0.195 0.115 0.461 0.185 0.194
0.191 0.117 0.452 0.213 0.178
0.202 0.22 0.517 0.26 0.243
0.166 0.104 0.375 0.179 0.185
0.179 0.103 0.42 0.171 0.189
0.257 0.165 0.592 0.328 0.287
0.275 0.183 0.578 0.332 0.301
0.176 0.145 0.434 0.19 0.184
0.257 0.163 0.612 0.325 0.307
0.274 0.203 0.583 0.326 0.311
0.286 0.194 0.606 0.352 0.298
0.267 0.202 0.568 0.344 0.287
0.249 0.175 0.59 0.32 0.299
0.282 0.204 0.587 0.352 0.305
0.288 0.2 0.634 0.347 0.338
0.288 0.183 0.606 0.361 0.342
