27727 1733 10000 1.874
33643 1967 10000 1.976
39490 2703 10000 1.98
44243 2997 10000 1.766
49682 3276 10000 1.57
64379 4275 10000 1.53
64856 4502 10000 1.548
65352 4730 10000 1.608
67713 4939 10000 1.594
73198 5186 10000 1.636
76647 5286 10000 1.804
72609 5112 10000 1.914
79142 5561 10000 1.976
82569 5688 10000 2.144
82130 5745 10000 2.332
90830 6186 10000 2.534
91081 6226 10000 2.828
90796 6345 10000 3.07
90919 6477 10000 3.164
91789 6421 10000 3.418
91608 6345 10000 3.476
91420 6302 10000 3.79
91899 6523 10000 4.042
92502 6788 10000 4.256
92132 6503 10000 4.662
98275 7253 10000 4.74
93299 6915 10000 4.674
101537 7447 10000 4.808
102323 7416 10000 4.928
98269 7099 10000 5.366
98206 7128 10000 5.454
99596 7060 10000 5.684
97885 7111 10000 5.882
102321 7222 10000 6.026
96393 6807 10000 6.114
97137 7118 10000 6.624
98962 7257 10000 6.784
102775 7387 10000 6.534
97439 6928 10000 6.926
98924 7331 10000 6.78
99550 7166 10000 7.002
99915 7118 10000 6.946
95054 6929 10000 7.164
102164 7350 10000 7.164
99862 7188 10000 7.014
100388 7262 10000 7.322
102838 7507 10000 7.69
104193 7386 10000 7.64
103402 7452 10000 7.686
106020 7576 10000 8.324
101405 7505 10000 8.28
103966 7598 10000 8.46
106195 7616 10000 8.724
105276 7701 10000 8.646
105064 7589 10000 8.906
104861 7684 10000 8.988
105987 7695 10000 8.658
103560 7547 10000 9.19
107132 7819 10000 9.298
104591 7604 10000 8.698
103834 7475 10000 8.766
102859 7462 10000 8.764
106627 7677 10000 8.792
102780 7627 10000 8.932
105863 7710 10000 8.75
104930 7609 10000 8.4
99566 7332 10000 8.438
104252 7534 10000 8.614
99123 7388 10000 8.838
105783 7699 10000 9.08
106043 7639 10000 9.552
108050 7752 10000 9.726
100939 7433 10000 9.67
107887 7753 10000 9.488
102046 7421 10000 9.922
107866 7810 10000 9.742
106972 7725 10000 9.382
104388 7577 10000 9.218
101903 7430 10000 9.342
104281 7612 10000 9.64
103448 7639 10000 9.618
107510 7768 10000 9.654
105510 7635 10000 9.408
107129 7673 10000 9.204
103629 7620 10000 9.722
107359 7753 10000 9.726
106829 7673 10000 9.942
101079 7340 10000 9.914
104927 7499 10000 9.96
106725 7636 10000 9.706
108931 7752 10000 9.85
104152 7469 10000 9.864
104872 7607 10000 9.936
101839 7392 10000 9.942
103530 7331 10000 10.06
106157 7586 10000 10.38
106437 7659 10000 10.294
102257 7329 10000 10.302
101138 7343 10000 10.32
